id,cost,talktime,validity,comments
16495,5,,1 day,"All outgoing calls (Local , STD, Roaming) @ 60p/min.No additional charges for Roaming -- "
16496,9,,30 days,Local & STD calls @30p/min
16497,15,,30 days,Local calls to vodafone mobile @20p/min
16498,15,,3 days,"All outgoing calls (Local , STD, Roaming) @ 60p/min.No additional charges for Roaming -- "
16499,25,,5 days,"All outgoing calls (Local , STD, Roaming) @ 60p/min.No additional charges for Roaming -- "
16500,33,,30 days,Local Calls @ 30p/min & STD Calls @ 40p/min
16501,35,,7 days,"All outgoing calls (Local , STD, Roaming) @ 60p/min.No additional charges for Roaming -- "
16502,38,,60 days,Local V2V 10p/min 
16503,39,,60 days,Local Calls @ 25p/min & STD Calls @ 40p/min 
16504,45,,28 days,Free minutes to Local vodafone (11.01pm to 6am)
16505,59,,30 days,Local Vodafone calls @20p/min
16506,62,,30 days,"All outgoing calls (Local , STD, Roaming) @ 1p/sec.No additional charges for Roaming.Standard rates apply for land line calls."
16507,71,,38 days,Local Vodafone Calls 20p/min 
16508,73,,60 days,Local calls @ 1.6p/2 sec
16509,79,,30 days,"Local V2V calls @10p/min, Local Offnet calls @30p/min & STD calls @40p/min"
16510,88,,30 days,Onnet 10p/min
16511,101,,30 days,200 Local mins
16512,108,,38 days,Local Onnet calls @10p/min
16513,222,,30 days,500 Free Local/STD minute to any Network
16514,249,,28 days,1400 minutes of Vodafone to Vodafone Local calling free
